gender;category;event;pool;total_results;ponderated best;best results
M;M35;100MI;25;252; 1'08"18;1'07"80;1'07"80;1'07"80;1'08"00;1'08"40;1'08"90
M;M40;100MI;25;181; 1'07"90;1'04"90;1'05"80;1'07"40;1'08"50;1'08"90;1'08"90
M;M45;100MI;25;145; 1'09"56;1'05"50;1'05"70;1'09"00;1'10"90;1'11"00;1'11"20
M;M50;100MI;25;92; 1'13"04;1'08"40;1'09"00;1'12"60;1'13"60;1'14"80;1'15"20
M;OVER;100MI;25;64; 1'21"62;1'16"50;1'16"50;1'20"00;1'20"90;1'24"80;1'25"90
M;SEN;200MI;25;5; 2'56"04;2'48"40;2'50"00;2'51"50;2'52"10;3'18"20
M;M20;200MI;25;42; 2'19"88;2'15"50;2'16"30;2'19"00;2'20"70;2'21"20;2'22"20
M;M25;200MI;25;56; 2'25"52;2'18"00;2'20"50;2'23"70;2'27"50;2'27"80;2'28"10
M;M30;200MI;25;56; 2'27"54;2'23"80;2'25"00;2'26"00;2'26"60;2'28"30;2'31"80
M;M35;200MI;25;38; 2'37"84;2'29"00;2'33"70;2'38"70;2'38"70;2'38"80;2'39"30
M;M40;200MI;25;37; 2'34"42;2'27"10;2'31"40;2'32"00;2'35"60;2'36"30;2'36"80
M;M45;200MI;25;32; 2'39"18;2'20"00;2'23"30;2'41"00;2'42"00;2'44"80;2'44"80
M;M50;200MI;25;13; 2'58"72;2'43"80;2'52"40;2'55"90;2'58"60;3'02"90;3'03"80
M;OVER;200MI;25;25; 3'10"46;3'07"90;3'08"00;3'09"90;3'10"20;3'11"50;3'12"70
M;SEN;50SL;50;75; 0'27"70;27"10;27"50;27"60;27"60;27"80;28"00
M;M20;50SL;50;189; 0'26"18;24"90;25"30;26"00;26"50;26"50;26"60
M;M25;50SL;50;151; 0'26"14;25"30;25"30;25"60;26"40;26"70;26"70
M;M30;50SL;50;147; 0'26"92;26"60;26"60;26"80;27"00;27"10;27"10
M;M35;50SL;50;133; 0'28"12;27"60;27"80;27"90;27"90;28"20;28"80
M;M40;50SL;50;97; 0'28"04;27"20;27"70;27"90;28"00;28"30;28"30
M;M45;50SL;50;88; 0'29"14;29"00;29"00;29"10;29"10;29"20;29"30
M;M50;50SL;50;42; 0'29"12;27"80;28"20;29"10;29"20;29"50;29"60
M;OVER;50SL;50;24; 0'33"68;30"70;33"30;33"50;33"50;33"70;34"40
M;SEN;100SL;50;14; 1'00"94;57"00;57"80;59"20;59"60;1'00"70;1'07"40
M;M20;100SL;50;44; 0'58"62;57"10;58"20;58"30;58"40;59"10;59"10
M;M25;100SL;50;38; 0'58"68;56"10;58"00;58"50;58"50;58"70;59"70
M;M30;100SL;50;24; 1'01"18;56"50;59"70;1'00"90;1'01"20;1'01"80;1'02"30
M;M35;100SL;50;25; 1'05"16;1'01"20;1'02"10;1'03"30;1'06"40;1'06"80;1'07"20
M;M40;100SL;50;29; 1'05"98;1'00"70;1'03"90;1'04"20;1'06"30;1'07"10;1'08"40
M;M45;100SL;50;16; 1'12"70;59"60;1'07"50;1'07"50;1'14"50;1'15"00;1'19"00
M;M50;100SL;50;10; 1'12"78;1'06"00;1'12"10;1'12"20;1'13"00;1'13"20;1'13"40
M;OVER;100SL;50;3; 1'20"53;1'16"10;1'17"00;1'28"50
M;M20;200SL;50;26; 2'15"50;2'01"30;2'13"10;2'13"30;2'14"10;2'16"50;2'20"50
M;M25;200SL;50;18; 2'20"40;2'16"10;2'16"60;2'18"00;2'20"00;2'23"30;2'24"10
M;M30;200SL;50;17; 2'21"60;2'16"40;2'16"60;2'18"30;2'20"80;2'23"10;2'29"20
M;M35;200SL;50;17; 2'34"26;2'27"00;2'28"70;2'31"40;2'32"60;2'38"70;2'39"90
